"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","Type","Phot.","Spec.","Radio","X-ray"
"SN2003dh","2003/03/31","12.62","A104450+2131","10:44:50.030,10:44:50.01,10:44:50.018","+21:31:18.15,+21:31:17.8,+21:31:17.80,+21:31:17.89","Ic BL","2781","16","",""
"SN2002ap","2002/01/29","12.04","NGC 628","01:36:23.85,01:36:23.87","+15:45:13.2,+15:45:13.21,+15:45:13.0","Ic BL","1781","39","",""
"SN2016coi","2016/05/27","13.45","UGC 11868","21:59:04.14,21:59:04.140,21:59:04.1376,21:59:04.08","+18:11:10.5,+18:11:10.46,+18:11:10.3308,+18:11:10.68,+18:11:11.04","Ic BL","724","","",""
"SN1998bw","1998/04/28","13.5","ESO 184-G82","19:35:03.17,19:35:03.31,19:27:38.4","-52:50:46.1,-52:50:44.81,-52:50:46.65,-53:06:36","Ic BL","527","30","",""
"SN2006aj","2006/02/18","15.58","A032139+1652","03:21:39.670,03:21:39.71,03:21:31.2","+16:52:02.27,+16:52:02.6,+16:52:02.60,+16:54:36","Ic BL","424","45","",""
"SN2009bb","2009/03/21","14.67","NGC 3278","10:31:33.92,10:31:33.87","-39:57:28.2,-39:57:30.0,-39:57:29.99","Ic BL","408","11","",""
"SN2007I","2007/01/14","16.08","A115913-0136","11:59:13.15,11:59:13.2","-01:36:18.9,-01:36:19.08,-01:36:18.90","Ic BL","183","7","",""
"SN2014ad","2014/03/12","13.69","MRK 1309 NED01","11:57:44.44,11:57:44.4","-10:10:15.7,-10:10:16,-10:10:15.71,-10:10:15.6","BL-Ic","173","4","",""
"SN2012bz","2012/04/25","20.2","A090738+1401","09:07:38.38,09:07:39.6","+14:01:07.5,+14:01:07.50,+13:58:26.4","Ic BL","160","5","",""
"SN2007ru","2007/11/27","15.22","UGC 12381","23:07:23.19,23:07:23.14","+43:35:34.1,+43:35:33.68","Ic BL","159","5","",""
"SN2007iq","2007/09/12","17.5","UGC 3416","06:13:32.33","+69:43:49.2,+69:43:49.19","Ic/Ic-BL","146","2","",""
"SN2005nb","2005/12/17","17.04","UGC 7230","12:13:37.61","+16:07:16.2,+16:07:16.21","Ic BL","122","1","",""
"SN2012ap","2012/02/10","15.75","NGC 1729","05:00:13.72","-03:20:51.2,-03:20:51.22","Ic BL","94","19","",""
"SN2007D","2007/01/09","16.26","UGC 2653","03:18:38.71","+37:36:26.4,+37:36:26.39","Ic BL","82","4","",""
"SN2007ce","2007/05/04","16.53","A121017+4843","12:10:17.96","+48:43:31.5,+48:43:31.51","Ic BL","81","11","",""
"Gaia18dfw","2018/10/30","17.51","","23:30:35.79,23:30:35.795,23:30:35.76","-37:24:37.94,-37:24:37.95,-37:24:37.8","BL","80","","",""
"SN2016G","2016/01/09","15.34","NGC 1171","03:03:57.74,03:03:57.696","+43:24:03.50,+43:24:03.5,+43:24:03.6","Ic BL","76","1","",""
"SN1997ef","1997/11/25","16.1","UGC 4107","07:57:02.87,07:57:02.88,07:57:02.82","+49:33:41.3,+49:33:40.32,+49:33:41.29,+49:33:40.2","Ic BL","73","37","",""
"SN2010bh","2010/03/16","19.04","A071031-5615","07:10:31.8,07:10:31.80","-56:15:20.2,-56:15:20.20","Ic BL","69","16","",""
"Gaia16afy","2016/02/24","15.67","","18:13:35.20,18:13:35.206,18:13:35.28","+31:44:17.60,+31:44:17.59,+31:44:17.52","BL","67","","",""
"SN2007bg","2007/04/16","17.8","A114926+5149","11:49:26.18","+51:49:21.8,+51:49:21.79","Ic BL","62","2","56",""
"SN2003jd","2003/10/25","15.61","MCG -01-59-21","23:21:03.38","-04:53:45.5,-04:53:45.49","Ic BL","61","28","",""
"Gaia18awn","2018/04/06","15.87","","11:03:52.22,11:03:52.227,11:03:52.32","-53:57:00.72","BL","61","","",""
"Gaia18bvv","2018/07/21","16.84","2MASS J23492538-4932265","23:49:25.38,23:49:25.388,23:49:25.44","-49:32:26.52","BL","60","","",""
"SDSS-II SN 14475","2006/09/30","20.63","SDSS J22430.87+001212.2","22:24:30.96","+00:12:12.28,+00:12:12.013","Ic BL","54","","",""
"Gaia18cfg","2018/08/14","14.62","","02:10:46.20,02:10:46.202,02:10:46.2","-51:01:01.92","BL","54","","",""
"Gaia18cwj","2018/10/03","17.55","","21:27:45.18,21:27:45.184,21:27:45.12","-57:45:29.05,-57:45:29.06,-57:45:29.16","BL","51","","",""
"Gaia18das","2018/10/12","16.6","2MASS J22561332-3303386","22:56:13.32,22:56:13.325,22:56:13.44","-33:03:38.52","BL","50","","",""
"SN2015ap","2015/09/08","15.04","IC 1776","02:05:13.32","+06:06:08.4,+06:06:08.39","Ib/c-BL","49","1","",""
"SN2018hom","2018/10/24","16.47","","22:59:22.97,22:59:22.970,22:59:23.04","+08:45:05.07,+08:45:04.644","Ic BL","40","1","",""
"Gaia18bwp","2018/07/25","17.69","2MASS J11311549+0234506","11:31:15.50,11:31:15.500,11:31:15.6","+02:34:50.34","BL","36","","",""
"SN2005da","2005/07/18","15.86","UGC 11301","18:37:46.89","+17:32:35.3,+17:32:35.30","Ic BL","29","4","0",""
"SN2016dsg","2016/02/21","18.68","ESO 254-G19","06:07:08.20,06:07:08.17,06:07:08.16","-45:10:52.20,-45:10:52.2,-45:10:52.32","I Pec","23","1","",""
"SN2013cq","2013/04/27","22.13","A113232+2741","11:32:32.84,11:32:32.81,11:32:36","+27:41:56.2,+27:41:56.18,+27:41:56.1,+27:42:21.6","Ic BL","16","1","",""
"SN2018cow","2018/06/16","14.2","CGCG 137-068","16:16:00.22,16:16:00.220,16:16:00.24","+22:16:04.83,+22:16:04.8","Ic BL","15","","",""
"SN2017iuk","2017/12/07","18.33","2MASX J11093966-1235116","11:09:39.52,11:09:39.520,11:09:39.120,11:09:39.6","-12:35:18.34,-12:35:06.90,-12:35:18.6,-12:35:18.4","Ic BL","11","","",""
"SN2002bl","2002/03/02","15.9","UGC 5499","10:12:17.28","+27:51:52.4,+27:51:52.42","Ic BL","8","4","",""
"SN2017dcc","2017/04/16","16.96","","12:49:04.89,12:49:04.890,12:49:04.9104,12:49:04.8","-12:12:22.42,-12:12:22.5684,-12:12:22.68","Ic BL","8","1","",""
"SN2010ay","2010/03/17","17.5","A123527+2704","12:35:27.19","+27:04:02.8,+27:04:02.78","Ic BL","6","3","",""
"SN2016ino","2016/11/25","18.07","NGC 6365A","17:22:44.46,17:22:44.460,17:22:44.4","+62:09:44.40,+62:09:44.28","Ic BL","5","1","",""
"SN2002jj","2002/12/03","17.13","IC 340","03:39:29.55","-13:06:55.8,-13:06:55.80","Ic/Ic-BL","4","3","",""
"SN2016dst","2016/02/23","18.76","","04:55:54.70,04:55:54.68,04:55:54.672","-29:34:13.70,-29:34:13.6,-29:34:13.7,-29:34:13.8","Ic BL","3","1","",""
"SN2018yg","2018/02/23","15.4","ARK 364","12:25:58.51,12:25:58.541,12:25:58.56","+04:28:27.05,+04:28:26.30,+04:28:26.292","Ic BL","3","1","",""
"SN2017ens","2017/06/05","17.8","","12:04:09.37,12:04:09.370","-01:55:52.25","Ic BL","2","","",""
"SN2017ifh","2017/11/15","18","2MASX J06350438+5026278","06:35:03.56,06:35:03.560","+50:26:27.90","Ic BL","2","1","",""
"SN2018ie","2018/01/18","16.59","NGC 3456","10:54:00.96,10:54:01.06,10:54:01.060","-16:01:21.72,-16:01:21.40","Ic BL","2","1","",""
"SN2018if","2018/01/18","17.6","SDSS J091423.85+493533.4","09:14:23.84,09:14:23.840","+49:35:32.90","Ic BL","2","1","",""
"SN2018kq","2018/01/24","17.1","KUG 0921+406","09:24:57.17,09:24:57.269,09:24:57.36","+40:23:55.14,+40:23:56.14,+40:23:56.04","Ic BL","2","1","",""
"SN2002gy","2002/10/16","17.6","UGC 2701","03:22:36.45","+09:28:22.0,+09:28:22.01","Ic BL","1","1","",""
"SN2003hp","2003/08/25","18.4","UGC 10942","17:40:18.69,17:40:18.698","+51:01:41.3,+51:01:41.30,+51:01:41.39","Ic BL","1","1","",""
"SN2003lw","2003/12/15","20.2","A080230-3951","08:02:30.1,08:02:30.2,08:02:30.20,08:02:30.238","-39:51:03,-39:51:02.99,-39:51:03.19,-39:51:03.0","Ic BL","1","2","",""
"SN2009nz","2009/11/27","21.6","A022619-1857","02:26:19.9,02:26:19.90,02:26:19.44","-18:57:09,-18:57:09.00,-18:57:09.0,-18:56:52.8","Ic BL","1","","",""
"LSQ14bef","2014/04/22","19.8","","14:27:41.77","-08:36:45.5","Ic BL","1","1","",""
"PSN J11484578-2817312","2013/11/27","15","ESO 440-G11","11:48:45.78","-28:17:31.2","Ic BL","1","2","",""
"PTF10aavz","2010/11/14","19.5","","11:20:13.36","+03:44:45.2","Ic BL","1","","",""
"PTF10qts","2010/08/13","19.5","","16:41:37.60","+28:58:21.1","Ic BL","1","7","",""
"PTF10vgv","2010/09/14","16","LCSB S2641N","22:16:01.17","+40:52:03.3","Ic BL","1","6","",""
"SN2010ah","2010/02/23","18.8","A114403+5541","11:44:02.99","+55:41:27.6,+55:41:27.60","Ic BL","1","2","",""
"SN2013bn","2013/04/15","17.8","A114802+5434","11:48:02.03,11:48:02.02","+54:34:38.6,+54:34:38.60,+54:34:38.5","Ic BL","1","1","",""
"SN2014as","2014/04/18","16.3","NGC 5410","14:00:54.49","+40:58:59.6,+40:58:59.59","Ic BL","1","1","",""
"SN2014cp","2014/06/23","15.7","ESO 479-G1","02:25:30.46","-25:37:38.0,-25:37:37.99","Ic BL","1","10","",""
"ASASSN-18dj","2018/02/19","17.6","2MASX J06005908-1759313","06:00:58.93,06:00:58.907,06:00:58.92","-17:59:31.99,-17:59:33.03,-17:59:33","Ic BL","1","","",""
"SN2016jca","2016/12/25","19","","06:06:51.43,06:06:51.430,06:06:52.08","-26:47:29.50,-26:48:03.6","Ic BL","1","","",""
"SN2017fgk","2017/07/09","17.69","","17:47:49.19,17:47:49.190","+16:08:05.18","Ic BL","1","","",""
"SN2017htp","2017/11/01","21.8","PSOJ042619.553-102745.801","04:26:19.46,04:26:19.460","-10:27:45.90","Ic BL","1","","",""
"SN2017ixv","2017/12/17","15.3","NGC 6796","19:21:31.24,19:21:31.240","+61:08:51.76","Ic BL","1","1","",""
"SN2018gep","2018/09/09","15.6","SDSS J164348.22+410243.3","16:43:48.22,16:43:48.220","+41:02:43.37","Ic BL","1","1","",""
"SN2018giu","2018/09/15","18.73","","20:27:49.22,20:27:49.220","+09:54:51.90","Ic BL","1","1","",""
"SN2018gju","2018/09/15","19.34","","00:08:11.79,00:08:11.790","-04:17:06.81","Ic BL","1","1","",""
"PTF09sk","2009/01/01","","","13:30:51.15","+30:20:04.9","Ic BL","","","",""
"SN2010ma","2010/12/19","","A004855-3433","00:48:55.35,00:49:02.16","-34:33:59.5,-34:33:59.51,-34:33:21.6","Ic BL","","7","",""
"SN2013dx","2013/07/02","","A142914+1546","14:29:14.78","+15:46:26.4,+15:46:26.40","Ic BL","","16","",""
"SN2013ez","2013/02/15","","A025400+1323","02:53:56.70,02:54:00.7,02:54:00.70,02:53:56.64","+13:23:13.6,+13:23:43.7,+13:23:43.69,+13:23:13.2","Ic BL","","1","",""
"SN2018fip","2018/07/28","","","16:54:15.75,16:54:15.750","-54:02:39.27","Ic BL","","","",""
